field_name,dk_column_name,description,dataset,data_source,source_link,year
air_toxics_resp_supp_pctile,EJScreen - Percentile for Air toxics respiratory HI - Percentile for Air toxics respiratory HI - Supplemental Index,percentile for air toxics respiratory hi supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
toxic_releases_supp_pctile,EJScreen - Percentile for Toxic Releases to Air - Percentile for Toxic Releases to Air - Supplemental Index,percentile for toxic releases to air supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
underground_tanks_supp_pctile,EJScreen - Percentile for Underground storage tanks - Percentile for Underground storage tanks - Supplemental Index,percentile for underground storage tanks supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
diesel_pm_pctile,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter,percentile for  diesel particulate matter,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
lead_paint_pctile,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint,percentile for lead paint,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
ozone_pctile,EJScreen - Percentile for Ozone - Percentile for Ozone,percentile for ozone,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
pm2_5_pctile,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5,percentile for particulate matter 2.5,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
superfund_prox_pctile,EJScreen - Percentile for Superfund proximity - Percentile for Superfund proximity,percentile for superfund proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
rmp_facility_prox_pctile,EJScreen - Percentile for RMP facility proximity - Percentile for RMP facility proximity,percentile for rmp facility proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
traffic_prox_pctile,EJScreen - Percentile for Traffic proximity - Percentile for Traffic proximity,percentile for traffic proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
haz_waste_prox_pctile,EJScreen - Percentile for Hazardous waste proximity - Percentile for Hazardous waste proximity,percentile for hazardous waste proximity,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
wastewater_pctile,EJScreen - Percentile for Wastewater discharge - Percentile for Wastewater discharge,percentile for wastewater discharge,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
air_toxics_resp_pctile,EJScreen - Percentile for Air toxics respiratory HI - Percentile for Air toxics respiratory HI,percentile for  air toxics respiratory hi,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
