geoid,geoid_year,state,county,state_fips_code,county_fips_code,total_cdfi_lending,med_mortgage_loan,med_property_value,med_sba_504_loan,med_sba_7a_loan,num_mortgage_loans,num_mortgage_denials,num_mortgages_origin,num_sba_504_loans,num_sba_7a_loans,pop_pct_2plus_races,pop_pct_white,pop_pct_black,pop_pct_american_indian,pop_pct_asian,pop_pct_native_hawaiian,pop_pct_other_race
12011020317,2020, Florida, Broward County,12,11,22833.0,275000.0,595000.0,,83000.0,193,37,82,,5,6.0,52.1,21.3,0.0,9.6,0.0,11.0
12011020318,2020, Florida, Broward County,12,11,664812.9999999999,385000.0,705000.0,834000.0,300000.0,495,108,224,1,2,10.2,50.1,24.1,0.0,11.5,0.0,4.1
12011020320,2020, Florida, Broward County,12,11,71788.0,245000.0,615000.0,645000.0,756000.0,257,59,107,1,6,13.0,53.9,24.0,0.5,2.8,0.0,5.8
12011020324,2020, Florida, Broward County,12,11,431517.37426057406,175000.0,245000.0,,10000.0,284,55,128,,2,21.0,41.7,21.4,0.1,8.5,0.0,7.2
12011020412,2020, Florida, Broward County,12,11,130961.0,225000.0,305000.0,583000.0,,126,31,43,1,,11.3,20.3,56.7,0.0,4.5,0.0,7.1
12011020420,2020, Florida, Broward County,12,11,39425.0,245000.0,345000.0,,25000.0,102,22,35,,1,6.5,16.1,74.0,0.0,2.3,0.0,1.1
12011020421,2020, Florida, Broward County,12,11,39594.23765149858,175000.0,275000.0,,,180,33,78,,,6.8,30.9,51.0,0.0,2.3,0.0,8.9
12011030602,2020, Florida, Broward County,12,11,178189.66666666666,255000.0,375000.0,344000.0,1000000.0,167,51,63,1,20,26.1,25.7,43.5,0.0,2.2,0.0,2.5
12011030703,2020, Florida, Broward County,12,11,394012.00684291334,175000.0,255000.0,,66000.0,423,77,211,,1,28.3,52.2,10.4,0.0,6.8,0.0,2.3
12011030803,2020, Florida, Broward County,12,11,31287.0,255000.0,375000.0,413000.0,803000.0,32,18,8,17,17,15.7,46.4,35.0,0.0,0.0,0.0,2.9
12011030903,2020, Florida, Broward County,12,11,51562.0,245000.0,455000.0,402000.0,274100.0,255,52,104,5,8,11.8,68.6,12.5,0.0,2.5,0.0,4.6
12011031002,2020, Florida, Broward County,12,11,145491.0,265000.0,535000.0,292000.0,617500.0,315,56,142,5,4,5.9,74.4,18.0,0.0,0.0,0.0,1.7
12011031205,2020, Florida, Broward County,12,11,,395000.0,525000.0,,121500.0,155,32,73,,1,8.6,87.9,1.0,0.0,2.0,0.0,0.5
12011040203,2020, Florida, Broward County,12,11,,205000.0,435000.0,1076000.0,100000.0,126,24,52,3,5,7.7,88.4,0.4,0.0,3.5,0.0,0.0
12011040205,2020, Florida, Broward County,12,11,210721.48864062794,365000.0,725000.0,554000.0,500000.0,341,62,155,2,5,13.9,75.5,4.4,0.5,5.1,0.0,0.5
12011040503,2020, Florida, Broward County,12,11,367273.9954414819,295000.0,385000.0,306000.0,1360000.0,72,18,26,1,2,4.7,91.3,0.0,0.0,1.7,2.0,0.4
12011040505,2020, Florida, Broward County,12,11,15710.666666666666,385000.0,735000.0,404500.0,1050000.0,118,26,50,2,1,0.4,95.6,0.0,0.0,0.0,0.0,4.0
12011040602,2020, Florida, Broward County,12,11,137037.747539719,475000.0,1005000.0,183000.0,1310900.0,178,35,90,1,2,6.8,77.4,7.1,1.3,0.3,0.0,7.0
12011040702,2020, Florida, Broward County,12,11,111647.0,405000.0,605000.0,1304000.0,364300.0,304,51,149,2,10,18.2,63.9,10.9,0.0,1.9,0.4,4.7
12011040901,2020, Florida, Broward County,12,11,9911.0,255000.0,325000.0,,15000.0,196,51,75,,1,4.8,3.0,92.2,0.0,0.0,0.0,0.0
12011041500,2020, Florida, Broward County,12,11,300265.0,265000.0,335000.0,536000.0,680000.0,53,14,13,6,5,2.8,4.2,92.5,0.0,0.0,0.0,0.5
12011041602,2020, Florida, Broward County,12,11,26540.75311128098,255000.0,315000.0,,,85,21,25,,,2.9,8.0,89.2,0.0,0.0,0.0,0.0
12011041700,2020, Florida, Broward County,12,11,7169.0,285000.0,455000.0,418000.0,215000.0,186,45,66,13,7,12.8,17.4,65.2,0.3,1.6,0.0,2.6
12011042000,2020, Florida, Broward County,12,11,539.0,1005000.0,2195000.0,,150000.0,310,72,157,,5,6.5,82.6,0.5,0.1,1.2,0.0,9.2
12011042900,2020, Florida, Broward County,12,11,658775.0,265000.0,405000.0,248000.0,100000.0,343,92,119,3,5,7.7,25.7,61.4,0.0,1.0,0.0,4.3
12011043301,2020, Florida, Broward County,12,11,221832.00000000003,365000.0,615000.0,,150000.0,410,76,189,,3,12.3,82.7,2.4,0.0,1.4,0.0,1.2
12011043302,2020, Florida, Broward County,12,11,17159.0,435000.0,565000.0,462000.0,511150.0,83,15,30,19,8,17.2,53.6,9.8,5.8,11.8,0.0,1.7
12011050100,2020, Florida, Broward County,12,11,15724.0,275000.0,395000.0,1564000.0,38000.0,229,39,93,3,1,45.9,43.2,4.4,0.0,2.1,0.0,4.4
12011050205,2020, Florida, Broward County,12,11,27201.0,215000.0,325000.0,,312500.0,272,63,135,,2,14.0,69.3,10.5,0.0,5.5,0.0,0.7
12011050308,2020, Florida, Broward County,12,11,31695.0,185000.0,365000.0,,100000.0,88,26,31,,1,0.3,1.0,98.5,0.2,0.0,0.0,0.0
12011050311,2020, Florida, Broward County,12,11,69832.0,85000.0,115000.0,,25000.0,144,40,50,,1,9.3,21.0,58.9,0.0,9.6,0.0,1.1
12011050312,2020, Florida, Broward County,12,11,13623.329539286722,85000.0,115000.0,,57500.0,125,39,51,,2,6.2,17.5,74.3,0.0,0.0,0.0,2.1
12011050314,2020, Florida, Broward County,12,11,90815.63315619134,365000.0,495000.0,,25000.0,193,45,87,,1,3.7,7.9,86.1,0.0,0.0,0.0,2.2
12011050316,2020, Florida, Broward County,12,11,58666.33333333333,215000.0,285000.0,,615000.0,330,71,135,,1,19.8,35.4,44.1,0.0,0.0,0.0,0.7
12011050501,2020, Florida, Broward County,12,11,103709.0,265000.0,415000.0,296000.0,716500.0,258,52,110,5,6,6.9,63.3,17.7,0.0,0.3,0.0,11.8
12011050701,2020, Florida, Broward County,12,11,6269.0,275000.0,455000.0,321500.0,2290000.0,188,34,80,4,5,13.8,33.1,45.5,0.0,1.8,0.0,5.8
12011050900,2020, Florida, Broward County,12,11,92261.99999999999,315000.0,655000.0,170000.0,248000.0,414,60,212,1,2,15.6,72.7,4.3,0.0,2.2,3.7,1.5
12011051001,2020, Florida, Broward County,12,11,73257.0,235000.0,485000.0,554000.0,310400.0,193,25,98,2,7,9.6,71.6,15.3,0.0,1.1,0.0,2.5
12011060105,2020, Florida, Broward County,12,11,119901.0,235000.0,335000.0,,100000.0,521,113,211,,7,11.3,34.5,47.2,1.8,2.4,0.0,2.8
12011060116,2020, Florida, Broward County,12,11,90041.0,245000.0,385000.0,381500.0,25000.0,417,93,176,4,8,13.2,36.0,37.3,0.0,11.3,0.0,2.3
12011060128,2020, Florida, Broward County,12,11,463501.0,155000.0,235000.0,418000.0,537000.0,421,106,159,1,1,13.0,39.5,46.1,0.0,0.4,0.0,1.1
12011060130,2020, Florida, Broward County,12,11,39296.666666666664,115000.0,165000.0,,,237,79,85,,,11.0,43.6,35.3,0.0,0.2,0.0,9.9
12011060209,2020, Florida, Broward County,12,11,72637.58563014926,265000.0,425000.0,,17500.0,142,37,62,,1,17.4,12.3,65.1,0.5,0.6,0.0,4.1
12011060212,2020, Florida, Broward County,12,11,21923.236125018255,285000.0,435000.0,,10000.0,218,52,81,,1,10.1,37.4,39.9,0.0,6.6,0.0,5.9
12011060402,2020, Florida, Broward County,12,11,107829.0403227341,135000.0,325000.0,,,175,64,52,,,3.4,3.9,91.3,0.0,0.0,0.0,1.4
12011060404,2020, Florida, Broward County,12,11,21784.666666666668,255000.0,355000.0,,200000.0,157,56,46,,3,2.1,5.1,92.1,0.0,0.7,0.0,0.0
12011060504,2020, Florida, Broward County,12,11,258364.8536162054,325000.0,655000.0,,35000.0,297,46,147,,3,20.3,64.9,8.1,0.0,4.3,0.0,2.4
12011060605,2020, Florida, Broward County,12,11,56591.0,175000.0,275000.0,,250000.0,98,34,34,,4,10.8,26.7,44.6,0.0,8.3,0.0,9.7
12011060606,2020, Florida, Broward County,12,11,139805.0,145000.0,205000.0,72500.0,75000.0,302,72,133,2,8,12.9,37.0,25.3,0.0,10.4,0.0,14.4
12011060607,2020, Florida, Broward County,12,11,55826.857225825035,295000.0,585000.0,,60000.0,229,50,105,,1,16.0,53.3,24.1,0.0,6.3,0.0,0.3
