field_name,dk_column_name,description,dataset,data_source,source_link,year
p_d2_ptsdf,EJScreen - Percentile for Hazardous waste proximity - Percentile for Hazardous waste proximity - EJ Index,percentile for hazardous waste proximity ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_pwdis,EJScreen - Percentile for Wastewater discharge - Percentile for Wastewater discharge - EJ Index,percentile for wastewater discharge ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_resp,EJScreen - Percentile for Air toxics respiratory HI - Percentile for Air toxics respiratory HI - EJ Index,percentile for air toxics respiratory hi ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_rsei_air,EJScreen - Percentile for Toxic Releases to Air - Percentile for Toxic Releases to Air - EJ Index,percentile for toxic releases to air ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d2_ust,EJScreen - Percentile for Underground storage tanks - Percentile for Underground storage tanks - EJ Index,percentile for underground storage tanks ej index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_cancer,EJScreen - Percentile for Air toxics cancer risk - Percentile for Air toxics cancer risk - Supplemental Index,percentile for  air toxics cancer risk supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_dslpm,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter - Supplemental Index,percentile for  diesel particulate matter supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ldpnt,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint - Supplemental Index,percentile for lead paint supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ozone,EJScreen - Percentile for Ozone - Percentile for Ozone - Supplemental Index,percentile for ozone supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_pm25,EJScreen - Percentile for Particulate Matter 2.5 - Percentile for Particulate Matter 2.5 - Supplemental Index,percentile for particulate matter 2.5 supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_pnpl,EJScreen - Percentile for Superfund proximity - Percentile for Superfund proximity - Supplemental Index,percentile for superfund proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_prmp,EJScreen - Percentile for RMP facility proximity - Percentile for RMP facility proximity - Supplemental Index,percentile for rmp facility proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ptraf,EJScreen - Percentile for Traffic proximity - Percentile for Traffic proximity - Supplemental Index,percentile for traffic proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ptsdf,EJScreen - Percentile for Hazardous waste proximity - Percentile for Hazardous waste proximity - Supplemental Index,percentile for hazardous waste proximity supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_pwdis,EJScreen - Percentile for Wastewater discharge - Percentile for Wastewater discharge - Supplemental Index,percentile for wastewater discharge supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_resp,EJScreen - Percentile for Air toxics respiratory HI - Percentile for Air toxics respiratory HI - Supplemental Index,percentile for air toxics respiratory hi supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_rsei_air,EJScreen - Percentile for Toxic Releases to Air - Percentile for Toxic Releases to Air - Supplemental Index,percentile for toxic releases to air supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_d5_ust,EJScreen - Percentile for Underground storage tanks - Percentile for Underground storage tanks - Supplemental Index,percentile for underground storage tanks supplemental index,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_dslpm,EJScreen - Percentile for Diesel particulate matter - Percentile for Diesel particulate matter,percentile for  diesel particulate matter,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
p_ldpnt,EJScreen - Percentile for Lead Paint - Percentile for Lead Paint,percentile for lead paint,EJScreen - Indexes,Environmental Protection Agency (EPA),https://www.epa.gov/ejscreen/download-ejscreen-data,2023
