COUNTY,Geography,Occupation,Median Hourly Wage (2023 $),Maximum Affordable Rent (30% of Income),2023 HUD 2BR Fair Market Rent,"% Income Needed for 2 BR, Median Wage Worker",# of Workers in 2022,Annual Wage as a % AMI for a Family of 3,Datasource,Report Name,URL
Baker County,"Baker County, FL HUD Metro FMR Area",Police and Sheriff's Patrol Officers,29.02,1509,882,0.18,3050,0.78,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Preschool Teachers, Except Special Education",14.82,771,882,0.34,2140,0.4,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Receptionists and Information Clerks,15.74,818,882,0.32,5580,0.42,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Registered Nurses,39.88,2074,882,0.13,17440,1.07,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Retail Salespersons,14.74,767,882,0.35,20870,0.4,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Roofers,20.39,1060,882,0.25,1650,0.55,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Secondary School Teachers, Except Special and Career/Technical Education",33.18,1725,882,0.15,3530,0.89,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",19.29,1003,882,0.26,7590,0.52,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Security Guards,14.69,764,882,0.35,6810,0.39,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area","Substitute Teachers, Short-Term",16.86,877,882,0.3,550,0.45,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Tellers,18.88,982,882,0.27,1540,0.51,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Veterinary Technologists and Technicians,18.61,967,882,0.27,950,0.5,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Baker County,"Baker County, FL HUD Metro FMR Area",Waiters and Waitresses,14.17,737,882,0.36,12470,0.38,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",All Occupations,19.78,1029,1451,0.42,286420,0.54,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Automotive Service Technicians and Mechanics,24.26,1262,1451,0.34,1780,0.66,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
Lee County,"Cape Coral-Fort Myers, FL MSA",Bartenders,14.53,756,1451,0.58,1580,0.39,Florida Housing Data Clearinghouse,"Wage and Rent Comparison by Occupation, 2023",http://flhousingdata.shimberg.ufl.edu/affordability/results?nid=100000
